,pm25,pm10,co,no2,so2,o3,nh3
2024-01-01,7.4,18.0,0.028,0.0,7.4,0.015,0.0
2024-01-02,8.9,21.0,0.013,0.0,8.9,0.029,0.001
2024-01-03,5.2,18.0,0.023,0.0,5.2,0.023,0.001
2024-01-04,5.3,18.0,0.018,0.0,5.3,0.028,0.0
2024-01-05,3.0,5.0,0.032,0.0,3.0,0.007,0.0
2024-01-06,4.1,10.0,0.04,0.0,4.1,0.006,0.0
2024-01-07,2.5,6.0,0.037,0.0,2.5,0.003,0.0
2024-01-08,2.6,7.0,0.04,0.0,2.6,0.004,0.0
2024-01-09,3.2,17.0,0.038,0.0,3.2,0.003,0.0
2024-01-10,3.2,9.0,0.033,0.0,3.2,0.01,0.0
2024-01-11,2.3,11.0,0.028,0.0,2.3,0.019,0.003
2024-01-12,2.6,16.0,0.042,0.0,2.6,0.005,0.001
2024-01-13,2.4,7.0,0.039,0.0,2.4,0.005,0.0
2024-01-14,1.5,7.0,0.04,0.0,1.5,0.004,0.0
2024-01-15,2.4,9.0,0.039,0.0,2.4,0.005,0.0
2024-01-16,1.8,6.0,0.035,0.0,1.8,0.004,0.0
2024-01-17,1.2,5.0,0.039,0.0,1.2,0.004,0.0
2024-01-18,5.1,11.0,0.009,0.0,5.1,0.025,0.001
2024-01-19,2.4,11.0,0.036,0.0,2.4,0.009,0.0
2024-01-20,3.7,18.0,0.024,0.0,3.7,0.015,0.0
2024-01-21,7.9,34.0,0.027,0.0,7.9,0.014,0.0
2024-01-22,6.6,28.0,0.031,0.0,6.6,0.008,0.0
2024-01-23,2.6,6.0,0.034,0.0,2.6,0.005,0.0
2024-01-24,3.2,9.0,0.027,0.0,3.2,0.011,0.001
2024-01-25,2.9,8.0,0.024,0.0,2.9,0.013,0.0
2024-01-26,2.4,4.0,0.029,0.0,2.4,0.006,0.0
2024-01-27,3.9,10.0,0.031,0.0,3.9,0.009,0.001
2024-01-28,2.9,7.0,0.037,0.0,2.9,0.006,0.0
2024-01-29,6.1,14.0,0.036,0.0,6.1,0.01,0.0
2024-01-30,4.5,23.0,0.035,0.0,4.5,0.013,0.0
2024-01-31,5.8,32.0,0.033,0.0,5.8,0.019,0.001
