date,pm25,pm10,co,no2,so2,o3,nh3,aqi_pm25,aqi_pm10,aqi_co,aqi_no2,aqi_so2,aqi_o3,AQI
2025-05-01,2.8,11.0,0.061,0.0003,2.8,0.002,0.0,12,10,1,0,4,2,12
2025-05-02,3.1,12.0,0.057,0.0004,3.1,0.002,0.0,13,11,1,0,4,2,13
2025-05-03,3.4,15.0,0.052,0.0003,3.4,0.003,0.0,14,14,1,0,5,3,14
2025-05-04,11.1,111.0,0.058,0.0003,11.1,0.002,0.0,46,79,1,0,16,2,79
2025-05-05,5.4,19.0,0.059,0.0004,5.4,0.001,0.0,23,18,1,0,8,1,23
2025-05-06,3.2,10.0,0.051,0.0004,3.2,0.003,0.0,13,9,1,0,5,3,13
2025-05-07,3.3,7.0,0.061,0.0004,3.3,0.003,0.0,14,6,1,0,5,3,14
2025-05-08,2.7,6.0,0.059,0.0003,2.7,0.003,0.0,11,6,1,0,4,3,11
2025-05-09,2.1,5.0,0.055,0.0002,2.1,0.002,0.0,9,5,1,0,3,2,9
2025-05-10,3.4,8.0,0.059,0.0002,3.4,0.001,0.0,14,7,1,0,5,1,14
2025-05-11,3.8,12.0,0.064,0.0002,3.8,0.002,0.0,16,11,1,0,5,2,16
2025-05-12,3.3,10.0,0.064,0.0003,3.3,0.001,0.0,14,9,1,0,5,1,14
2025-05-13,3.9,19.0,0.064,0.0004,3.9,0.002,0.0,16,18,1,0,6,2,18
2025-05-14,8.1,34.0,0.044,0.0004,8.1,0.001,0.0,34,31,0,0,12,1,34
2025-05-15,8.8,42.0,0.075,0.0003,8.8,0.001,0.0,37,39,1,0,13,1,39
2025-05-16,9.3,25.0,0.061,0.0003,9.3,0.002,0.0,39,23,1,0,13,2,39
2025-05-17,3.7,12.0,0.06,0.0003,3.7,0.001,0.0,15,11,1,0,5,1,15
2025-05-18,3.4,20.0,0.051,0.0004,3.4,0.003,0.001,14,19,1,0,5,3,19
2025-05-19,6.6,44.0,0.066,0.0003,6.6,0.001,0.0,28,41,1,0,9,1,41
2025-05-20,4.9,26.0,0.061,0.0003,4.9,0.003,0.001,20,24,1,0,7,3,24
2025-05-21,5.1,17.0,0.042,0.0002,5.1,0.003,0.001,21,16,0,0,7,3,21
2025-05-22,4.4,17.0,0.056,0.0003,4.4,0.002,0.001,18,16,1,0,6,2,18
2025-05-23,4.8,19.0,0.067,0.0003,4.8,0.002,0.001,20,18,1,0,7,2,20
2025-05-24,3.7,16.0,0.067,0.0003,3.7,0.002,0.001,15,15,1,0,5,2,15
2025-05-25,5.3,22.0,0.047,0.0003,5.3,0.004,0.001,22,20,1,0,8,4,22
2025-05-26,5.3,22.0,0.047,0.0003,5.3,0.004,0.001,22,20,1,0,8,4,22
2025-05-27,4.0,19.0,0.06,0.0004,4.0,0.002,0.001,17,18,1,0,6,2,18
2025-05-28,3.5,12.0,0.073,0.0002,3.5,0.002,0.001,15,11,1,0,5,2,15
2025-05-29,7.2,31.0,0.062,0.0003,7.2,0.004,0.001,30,29,1,0,10,4,30
2025-05-30,6.2,28.0,0.063,0.0004,6.2,0.002,0.001,26,26,1,0,9,2,26
2025-05-31,5.8,22.0,0.064,0.0003,5.8,0.003,0.001,24,20,1,0,8,3,24
