date,pm25,pm10,co,no2,so2,o3,nh3,aqi_pm25,aqi_pm10,aqi_co,aqi_no2,aqi_so2,aqi_o3,AQI
2025-04-01,5.8,38.0,0.051,0.0004,5.8,0.005,0.0,24,35,1,0,8,5,35
2025-04-02,15.3,224.0,0.055,0.0004,15.3,0.002,0.0,58,135,1,0,22,2,135
2025-04-03,4.2,20.0,0.059,0.0003,4.2,0.003,0.0,18,19,1,0,6,3,19
2025-04-04,3.7,22.0,0.055,0.0003,3.7,0.002,0.0,15,20,1,0,5,2,20
2025-04-05,4.1,22.0,0.054,0.0003,4.1,0.0,0.0,17,20,1,0,6,0,20
2025-04-06,2.5,6.0,0.042,0.0002,2.5,0.003,0.0,10,6,0,0,4,3,10
2025-04-07,2.8,8.0,0.052,0.0002,2.8,0.002,0.0,12,7,1,0,4,2,12
2025-04-08,3.0,11.0,0.055,0.0002,3.0,0.001,0.0,12,10,1,0,4,1,12
2025-04-09,3.8,19.0,0.057,0.0002,3.8,0.002,0.0,16,18,1,0,5,2,18
2025-04-10,6.1,27.0,0.057,0.0003,6.1,0.003,0.0,25,25,1,0,9,3,25
2025-04-11,7.3,34.0,0.071,0.0002,7.3,0.003,0.0,30,31,1,0,10,3,31
2025-04-12,5.6,28.0,0.064,0.0003,5.6,0.002,0.0,23,26,1,0,8,2,26
2025-04-13,4.0,18.0,0.062,0.0003,4.0,0.004,0.0,17,17,1,0,6,4,17
2025-04-14,5.0,20.0,0.059,0.0003,5.0,0.004,0.0,21,19,1,0,7,4,21
2025-04-15,6.3,35.0,0.054,0.0003,6.3,0.002,0.0,26,32,1,0,9,2,32
2025-04-16,6.6,41.0,0.051,0.0004,6.6,0.002,0.0,28,38,1,0,9,2,38
2025-04-17,2.4,16.0,0.044,0.0003,2.4,0.003,0.001,10,15,0,0,3,3,15
2025-04-18,13.9,136.0,0.058,0.0004,13.9,0.002,0.0,55,91,1,0,20,2,91
2025-04-19,7.9,97.0,0.052,0.0003,7.9,0.002,0.0,33,72,1,0,11,2,72
2025-04-20,4.4,10.0,0.066,0.0003,4.4,0.004,0.0,18,9,1,0,6,4,18
2025-04-21,2.8,7.0,0.054,0.0003,2.8,0.002,0.0,12,6,1,0,4,2,12
2025-04-22,2.7,8.0,0.056,0.0003,2.7,0.001,0.0,11,7,1,0,4,1,11
2025-04-23,2.9,11.0,0.059,0.0004,2.9,0.004,0.0,12,10,1,0,4,4,12
2025-04-24,2.5,16.0,0.053,0.0003,2.5,0.002,0.0,10,15,1,0,4,2,15
2025-04-25,3.1,17.0,0.057,0.0003,3.1,0.002,0.0,13,16,1,0,4,2,16
2025-04-26,5.0,33.0,0.057,0.0002,5.0,0.004,0.0,21,31,1,0,7,4,31
2025-04-27,4.6,36.0,0.056,0.0004,4.6,0.001,0.0,19,33,1,0,7,1,33
2025-04-28,18.4,175.0,0.053,0.0004,18.4,0.002,0.0,64,111,1,0,26,2,111
2025-04-29,3.1,13.0,0.06,0.0003,3.1,0.001,0.0,13,12,1,0,4,1,13
2025-04-30,3.8,24.0,0.054,0.0003,3.8,0.001,0.0,16,22,1,0,5,1,22
